version: 1.0,published: 04/09/2019,date queried: 12/30/2020,grade: 3,domains: general

Word,Domain,Grade
affect,general,3
organize,general,3
represent,general,3
critical,general,3
factor,general,3
separate,general,3
locate,general,3
prediction,general,3
operation,general,3
active,general,3
depend,general,3
section,general,3
term,general,3
hypothesis,general,3
link,general,3
focus,general,3
similar,general,3
standard,general,3
express,general,3
allow,general,3
statement,general,3
observation,general,3
suppose,general,3
improve,general,3
adaptation,general,3
invent,general,3
balance,general,3
develop,general,3
illustration,general,3
definition,general,3
display,general,3
opposite,general,3
phrase,general,3
visual,general,3
passage,general,3
description,general,3
interpret,general,3
nutrient,general,3
characteristic,general,3
challenge,general,3
determine,general,3
multiple,general,3
online,general,3
prefix,general,3
professor,general,3
revolve,general,3
situation,general,3
surround,general,3
visualize,general,3
combination,general,3
conserve,general,3
generalize,general,3
interact,general,3
knowledge,general,3
potential,general,3
relevant,general,3
behavior,general,3
evaluate,general,3
excite,general,3
explanation,general,3
interactive,general,3
declaration,general,3
phase,general,3
procedure,general,3
response,general,3
unique,general,3
average,general,3
occur,general,3
caption,general,3
representative,general,3
suffix,general,3
construct,general,3
content,general,3
farther,general,3
fluency,general,3
inherit,general,3
relationship,general,3
clearly,general,3
pronunciation,general,3
reasonableness,general,3
