carnegie-mellon,wisdom-ja-en,new_oxford_american,
AA,ɑ,ɑ,
AE,æ,æt,
AH,ʌ,ə,
AO,ɔː,ɔ,
AW,aʊ,aʊ,
AY,aɪ ,aɪ,
B,b,b,
CH,tʃ,tʃ,
D,d,d,
DH,ð,ð,
EH,e,ɛ,
ER,əːr,ər,
EY,eɪ,eɪ,
F,f,f,
G,ɡ,ɡ,
HH,h,h,
IH,ɪ,ɪ,
IY,iː,i,
JH,dʒ,dʒ,
K,k,k,
L,l,l,
M,m,m,
N,n,n,
NG,ŋ,ŋ,
OW,oʊ,oʊ,
OY,ɔɪ ,ɔɪ,
P,p,p,
R,r,r,
S,s,s,
SH,ʃ,ʃ,
T,t,t,
TH,θ,θ,
UH,ʊ,ʊ,
UW,uː,u,
V,v,v,
W,w,w,
Y,j,j,
Z,z,z,
ZH,ʒ,ʒ,ZH
AA1,ɑ́(ː),ɑ,AA
AE1,ǽ,æt,AE
AH1,ʌ́,ə,AH
AO1,ɔ́(ː),ɔ,AO
AW1,áʊ,aʊ,AW
AY1,áɪ,aɪ,AY
EH1,é,ɛ,EH
ER1,ə́ːr,ər,ER
EY1,éɪ,eɪ,EY
IH1,ɪ́,ɪ,IH
IY1,íː,i,IY
OW1,óʊ,oʊ,OW
OY1,ɔ́ɪ,ɔɪ,OY
UH1,ʊ́,ʊ,UH
UW1,úː,u,UW
AA2,ɑ̀(ː),ɑ,AA
AE2,æ̀,æt,AE
AH2,ʌ̀,ə,AH
AO2,ɔ̀(ː),ɔ,AO
AW2,àʊ,aʊ,AW
AY2,àɪ,aɪ,AY
EH2,è,ɛ,EH
ER2,əːr,ər,ER
EY2,èɪ,eɪ,EY
IH2,ɪ̀,ɪ,IH
IY2,ìː,i,IY
OW2,òʊ,oʊ,OW
OY2,ɔ̀ɪ,ɔɪ,OY
UH2,ʊ̀,ʊ,UH
UW2,ùː,u,UW
AA0,ɑ,ɑ,AA
AE0,æ,æt,AE
AH0,ə,ə,AH
AO0,ɔː,ɔ,AO
AW0,aʊ,aʊ,AW
AY0,aɪ ,aɪ,AY
EH0,e,ɛ,EH
ER0,əːr,ər,ER
EY0,eɪ,eɪ,EY
IH0,ɪ,ɪ,IH
IY0,iː,i,IY
OW0,oʊ,oʊ,OW
OY0,ɔɪ ,ɔɪ,OY
UH0,ʊ,ʊ,UH
UW0,uː,u,UW
