version: 1.0,published: 04/09/2019,date queried: 12/30/2020,grade: 4,domains: general

Word,Domain,Grade
range,general,4
essay,general,4
condition,general,4
scientific,general,4
reference,general,4
increase,general,4
growth,general,4
convert,general,4
customary,general,4
generalization,general,4
acute,general,4
inference,general,4
conclude,general,4
role,general,4
comparison,general,4
partial,general,4
select,general,4
specific,general,4
basic,general,4
progress,general,4
actual,general,4
appropriate,general,4
task,general,4
ability,general,4
conduct,general,4
conflict,general,4
influence,general,4
persuasive,general,4
primary,general,4
audience,general,4
historical,general,4
organization,general,4
positive,general,4
precise,general,4
transform,general,4
unfamiliar,general,4
variety,general,4
vary,general,4
boundary,general,4
career,general,4
exist,general,4
narrow,general,4
preserve,general,4
publish,general,4
reduce,general,4
simplify,general,4
suggest,general,4
advertisement,general,4
descriptive,general,4
eventually,general,4
involve,general,4
prevent,general,4
endanger,general,4
error,general,4
examine,general,4
generate,general,4
require,general,4
decrease,general,4
differ,general,4
draft,general,4
evenly,general,4
inspire,general,4
limit,general,4
rate,general,4
beyond,general,4
discussion,general,4
forecast,general,4
gain,general,4
individual,general,4
original,general,4
prove,general,4
accurate,general,4
composite,general,4
convince,general,4
establish,general,4
inform,general,4
instruction,general,4
particular,general,4
relative,general,4
safely,general,4
argument,general,4
complex,general,4
definite,general,4
department,general,4
outline,general,4
prompt,general,4
diverse,general,4
extreme,general,4
persuade,general,4
quantity,general,4
realistic,general,4
benefit,general,4
clarify,general,4
comprehend,general,4
historic,general,4
production,general,4
similarity,general,4
