Word,TSL Rank,SFI,U
mister,1,71.28,1342.2
conference,2,67.05,506.73
vacation,3,65.56,359.64
client,4,65.26,335.37
e-book,5,65.03,318.45
airport,6,65.02,317.72
memo,7,64.07,255.2
reservation,8,63.98,250.05
logical,9,63.89,244.91
fax,10,63.78,239.02
o'clock,11,63.51,224.31
sincerely,12,62.82,191.22
sometime,13,62.43,175.04
website,14,62.41,174.3
supervisor,15,62.41,174.3
candidate,16,62.41,174.3
refund,17,62.3,169.89
goods,18,62.13,163.27
workshop,19,62.07,161.06
downtown,20,61.95,156.65
deadline,21,61.91,155.18
invoice,22,61.85,152.97
brochure,23,61.68,147.09
noon,24,61.65,146.36
accountant,25,61.57,143.41
clerk,26,61.5,141.21
lobby,27,61.5,141.21
publish,28,61.45,139.74
résumé,29,57.53,56.63
enclose,30,61.36,136.79
applicant,31,61.27,133.85
seminar,32,61.27,133.85
technician,33,61.1,128.7
cloth,34,60.79,119.88
fare,35,60.65,116.2
receipt,36,60.71,117.67
traveler,37,60.62,115.47
caller,38,60.6,114.73
subway,39,60.6,114.73
luggage,40,60.51,112.52
shipment,41,60.37,108.85
infer,42,60.28,106.64
waiter,43,60.28,106.64
rental,44,60.25,105.91
warranty,45,60.19,104.43
cafeteria,46,60.16,103.7
chef,47,60,100.02
elevator,48,59.84,96.34
reception,49,59.84,96.34
correctly,50,#N/A,#N/A
lease,51,59.63,91.93
bicycle,52,59.6,91.2
notify,53,59.6,91.2
preview,54,59.6,91.2
attendant,55,59.56,90.46
subscription,56,59.56,90.46
convenient,57,59.49,88.99
manual,58,59.46,88.25
clue,59,59.38,86.78
garage,60,59.42,87.52
obtain,61,59.38,86.78
oval,62,59.38,86.78
inventory,63,59.27,84.58
outdoor,64,59.27,84.58
suitcase,65,59.27,84.58
destination,66,59.23,83.84
occupation,67,59.23,83.84
postpone,68,59.23,83.84
contradict,69,59.16,82.37
umbrella,70,59.12,81.64
inference,71,58.96,78.69
cellphone,72,58.92,77.96
compact,73,58.67,73.55
merchandise,74,58.67,73.55
receptionist,75,58.62,72.81
dentist,76,58.58,72.07
identification,77,58.58,72.07
coupon,78,58.53,71.34
depart,79,58.53,71.34
reschedule,80,58.53,71.34
tactic,81,58.49,70.6
renovation,82,58.44,69.87
upgrade,83,58.4,69.13
precede,84,58.35,68.4
replacement,85,58.44,69.87
dine,86,58.3,67.66
passport,87,58.3,67.66
coworker,88,58.21,66.19
upcoming,89,58.21,66.19
cabinet,90,58.16,65.46
appliance,91,58.11,64.72
explanatory,92,58.11,64.72
instructor,93,58.06,63.98
keyboard,94,58.11,64.72
media,95,58.06,63.98
supermarket,96,58.06,63.98
valid,97,58.11,64.72
admission,98,58.01,63.25
laptop,99,58.01,63.25
underline,100,58.01,63.25
electrical,101,57.96,62.51
airplane,102,57.91,61.78
assignment,103,57.91,61.78
exit,104,57.91,61.78
attendee,105,57.86,61.04
cruise,106,57.8,60.31
birthday,107,#N/A,#N/A
café,108,57.8,60.31
comprehension,109,57.75,59.57
mall,110,57.75,59.57
medication,111,57.75,59.57
recycle,112,57.75,59.57
renew,113,57.75,59.57
tenant,114,57.75,59.57
sandwich,115,57.7,58.84
departure,116,57.64,58.1
mini,117,57.64,58.1
fitness,118,57.59,57.37
inconvenience,119,57.59,57.37
banquet,120,57.53,56.63
closet,121,57.53,56.63
unreal,122,57.53,56.63
distractor,123,57.47,55.89
expire,124,57.47,55.89
folder,125,57.53,56.63
photocopy,126,57.47,55.89
renovate,127,57.47,55.89
sunny,128,57.47,55.89
calendar,129,57.42,55.16
donation,130,57.42,55.16
feedback,131,57.42,55.16
shortly,132,57.42,55.16
snack,133,57.42,55.16
warehouse,134,57.42,55.16
copier,135,57.36,54.42
provider,136,57.36,54.42
beverage,137,57.3,53.69
hungry,138,57.24,52.95
inspection,139,57.24,52.95
recipient,140,57.24,52.95
aisle,141,57.18,52.22
inspect,142,57.18,52.22
mechanic,143,57.18,52.22
merger,144,57.24,52.95
soccer,145,57.18,52.22
sweater,146,57.12,51.48
ingredient,147,57.12,51.48
rewrite,148,57.12,51.48
itinerary,149,57.05,50.75
workplace,150,57.05,50.75
architect,151,56.99,50.01
convenience,152,56.99,50.01
eligible,153,56.99,50.01
indoor,154,56.99,50.01
baggage,155,56.93,49.28
click,156,56.93,49.28
dial,157,56.93,49.28
container,158,56.86,48.54
drawer,159,56.86,48.54
lab,160,56.86,48.54
submission,161,56.86,48.54
bulletin,162,56.79,47.8
certificate,163,56.79,47.8
gym,164,56.99,50.01
highway,165,56.79,47.8
respondent,166,56.79,47.8
jewelry,167,56.73,47.07
overtime,168,56.73,47.07
battery,169,56.66,46.33
donate,170,56.66,46.33
outstanding,171,56.66,46.33
skim,172,56.66,46.33
briefcase,173,56.59,45.6
dessert,174,56.59,45.6
impact,175,56.59,45.6
innovative,176,56.59,45.6
inquire,177,56.59,45.6
overnight,178,56.59,45.6
venue,179,56.59,45.6
commuter,180,56.59,45.6
logo,181,56.52,44.86
newsletter,182,56.52,44.86
advisor,183,56.45,44.13
cartridge,184,56.45,44.13
cloudy,185,56.45,44.13
photographer,186,56.45,44.13
shopper,187,56.45,44.13
tag,188,56.45,44.13
announcer,189,56.37,43.39
aspect,190,56.37,43.39
audit,191,56.37,43.39
contractor,192,56.37,43.39
download,193,56.37,43.39
password,194,56.37,43.39
prohibit,195,56.37,43.39
stadium,196,56.37,43.39
terminal,197,56.37,43.39
weekday,198,56.37,43.39
bonus,199,56.3,42.66
cart,200,56.3,42.66
delicious,201,56.3,42.66
ink,202,56.3,42.66
supervise,203,56.3,42.66
waitress,204,56.37,43.39
cleaner,205,56.22,41.92
developer,206,56.22,41.92
headquarter,207,56.22,41.92
shuttle,208,56.22,41.92
stationery,209,56.22,41.92
subscribe,210,56.22,41.92
alike,211,56.15,41.19
flavor,212,56.15,41.19
picnic,213,56.15,41.19
recipe,214,56.15,41.19
refreshment,215,56.15,41.19
administrative,216,55.48,35.3
authorize,217,56.07,40.45
commonly,218,56.07,40.45
distribution,219,56.07,40.45
sofa,220,56.07,40.45
accommodate,221,55.99,39.71
affordable,222,55.99,39.71
annoy,223,55.99,39.71
commute,224,56.07,40.45
coordinate,225,56.07,40.45
paperwork,226,55.99,39.71
quit,227,55.99,39.71
authority,228,55.91,38.98
flu,229,55.91,38.98
captain,230,55.83,38.24
installation,231,55.83,38.24
trainer,232,55.83,38.24
availability,233,55.74,37.51
bargain,234,55.74,37.51
complimentary,235,55.74,37.51
hike,236,55.74,37.51
midnight,237,55.74,37.51
productivity,238,55.74,37.51
rainy,239,55.74,37.51
relocate,240,55.74,37.51
trainee,241,55.74,37.51
transaction,242,55.74,37.51
unhappy,243,55.74,37.51
verify,244,55.74,37.51
automobile,245,55.66,36.77
courier,246,55.66,36.77
incomplete,247,55.66,36.77
questionnaire,248,55.66,36.77
baseball,249,55.57,36.04
dock,250,55.57,36.04
lamp,251,55.57,36.04
lately,252,55.57,36.04
machinery,253,55.57,36.04
presenter,254,55.57,36.04
seldom,255,55.57,36.04
signature,256,55.57,36.04
worldwide,257,55.66,36.77
carrier,258,55.48,35.3
designate,259,55.48,35.3
exclusive,260,55.48,35.3
grocery,261,55.48,35.3
homework,262,55.48,35.3
memorandum,263,55.48,35.3
photocopier,264,55.48,35.3
suite,265,55.48,35.3
thorough,266,55.57,36.04
bookstore,267,55.48,35.3
cater,268,55.48,35.3
dental,269,55.39,34.57
duration,270,55.39,34.57
lounge,271,55.39,34.57
painter,272,55.39,34.57
patron,273,55.39,34.57
prescription,274,55.39,34.57
productive,275,55.39,34.57
salad,276,55.39,34.57
stack,277,55.39,34.57
delegate,278,55.29,33.83
salesperson,279,55.29,33.83
calculator,280,55.2,33.1
completion,281,55.2,33.1
defect,282,55.2,33.1
garbage,283,55.2,33.1
omit,284,55.2,33.1
spite,285,55.2,33.1
bathroom,286,55.1,32.36
cab,287,55.1,32.36
correspondence,288,55.1,32.36
ladder,289,55.1,32.36
photography,290,55.1,32.36
sculpture,291,55.1,32.36
anniversary,292,55,31.62
buffet,293,55.1,32.36
defective,294,55,31.62
ice cream,295,55,31.62
leak,296,55,31.62
occupancy,297,55,31.62
proficiency,298,55,31.62
renewal,299,55,31.62
urgent,300,55,31.62
annually,301,54.9,30.89
basketball,302,55,31.62
delete,303,54.9,30.89
illogical,304,54.9,30.89
pet,305,54.9,30.89
textbook,306,#N/A,#N/A
accurately,307,54.79,30.15
cabin,308,54.9,30.89
conductor,309,54.79,30.15
inspector,310,54.79,30.15
intern,311,54.79,30.15
semester,312,#N/A,#N/A
confirmation,313,54.69,29.42
congratulation,314,54.69,29.42
expertise,315,54.69,29.42
graph,316,54.69,29.42
taker,317,54.69,29.42
utility,318,54.69,29.42
voucher,319,54.69,29.42
banker,320,54.58,28.68
behalf,321,54.58,28.68
minimize,322,54.58,28.68
optional,323,54.58,28.68
paycheck,324,54.58,28.68
polite,325,54.58,28.68
protective,326,54.58,28.68
seller,327,54.58,28.68
sidewalk,328,54.58,28.68
sightsee,329,54.58,28.68
soup,330,54.58,28.68
transit,331,54.58,28.68
wallet,332,54.58,28.68
born,333,54.46,27.95
cashier,334,54.46,27.95
casual,335,54.46,27.95
drill,336,54.46,27.95
fountain,337,54.46,27.95
juice,338,54.46,27.95
lane,339,54.46,27.95
popularity,340,54.46,27.95
poster,341,54.46,27.95
promptly,342,54.46,27.95
retailer,343,54.46,27.95
vacancy,344,54.46,27.95
bench,345,54.35,27.21
cumulative,346,54.35,27.21
directory,347,54.35,27.21
disposal,348,54.35,27.21
housekeeper,349,54.35,27.21
internship,350,54.35,27.21
knowledgeable,351,54.35,27.21
organizer,352,54.35,27.21
overdue,353,54.35,27.21
prediction,354,54.35,27.21
subscriber,355,54.35,27.21
booklet,356,54.23,26.48
conditioner,357,54.23,26.48
enroll,358,54.23,26.48
frustrate,359,54.23,26.48
garment,360,54.23,26.48
orientation,361,54.23,26.48
outlet,362,54.23,26.48
packet,363,54.23,26.48
plumber,364,54.23,26.48
specification,365,54.23,26.48
auto,366,54.11,25.74
decorate,367,54.11,25.74
deduction,368,54.11,25.74
definite,369,54.11,25.74
economical,370,54.11,25.74
efficiently,371,54.11,25.74
flyer,372,54.11,25.74
franchise,373,54.11,25.74
generous,374,54.11,25.74
interrupt,375,54.11,25.74
oven,376,54.11,25.74
pant,377,54.11,25.74
profitable,378,54.11,25.74
refrigerator,379,54.11,25.74
reimburse,380,54.11,25.74
showroom,381,54.11,25.74
vegetarian,382,54.11,25.74
administrator,383,53.98,25.01
broker,384,53.98,25.01
cancellation,385,53.98,25.01
confidential,386,53.98,25.01
jet,387,53.98,25.01
realistic,388,53.98,25.01
thoroughly,389,53.98,25.01
trash,390,53.98,25.01
usage,391,53.98,25.01
windy,392,53.98,25.01
automate,393,53.85,24.27
ferry,394,53.85,24.27
finalize,395,53.85,24.27
incur,396,53.85,24.27
instruct,397,53.85,24.27
loyal,398,53.85,24.27
luncheon,399,53.85,24.27
microphone,400,53.85,24.27
overview,401,53.85,24.27
projector,402,53.85,24.27
shortage,403,53.85,24.27
spacious,404,53.85,24.27
accomplishment,405,53.72,23.53
accustom,406,53.72,23.53
clinic,407,53.72,23.53
desktop,408,53.72,23.53
jog,409,53.72,23.53
leisure,410,53.85,24.27
nap,411,53.72,23.53
reinforce,412,53.72,23.53
sender,413,53.72,23.53
vacuum,414,53.72,23.53
wireless,415,53.72,23.53
yearly,416,53.72,23.53
appreciation,417,53.58,22.8
cargo,418,53.58,22.8
cooperate,419,53.58,22.8
distract,420,53.58,22.8
dividend,421,53.58,22.8
exemption,422,53.58,22.8
furnish,423,53.58,22.8
hourly,424,53.58,22.8
laundry,425,53.58,22.8
mandatory,426,53.58,22.8
mechanical,427,53.58,22.8
pharmacy,428,53.58,22.8
promotional,429,53.58,22.8
quarterly,430,53.58,22.8
residential,431,53.72,23.53
scholarship,432,53.58,22.8
seeker,433,53.58,22.8
temporarily,434,53.58,22.8
towel,435,53.58,22.8
unattended,436,53.58,22.8
accessible,437,53.44,22.06
afterward,438,53.44,22.06
apology,439,53.44,22.06
assemble,440,53.44,22.06
automatic,441,53.44,22.06
boardroom,442,53.44,22.06
carpenter,443,53.44,22.06
caterer,444,53.44,22.06
classify,445,53.44,22.06
consultation,446,53.58,22.8
durable,447,53.44,22.06
glove,448,53.44,22.06
hardware,449,53.44,22.06
malfunction,450,53.44,22.06
outdate,451,53.44,22.06
patience,452,53.44,22.06
postcard,453,53.44,22.06
prospective,454,53.44,22.06
revision,455,53.44,22.06
strictly,456,53.44,22.06
tomato,457,53.44,22.06
tray,458,53.44,22.06
vendor,459,53.44,22.06
withdrawal,460,53.44,22.06
anytime,461,53.29,21.33
badge,462,53.29,21.33
brake,463,53.29,21.33
calculation,464,53.29,21.33
coordinator,465,53.29,21.33
costly,466,53.29,21.33
equip,467,53.29,21.33
excursion,468,53.29,21.33
graphic,469,53.29,21.33
inexperience,470,53.44,22.06
lengthy,471,53.29,21.33
librarian,472,53.29,21.33
meantime,473,53.29,21.33
merge,474,53.29,21.33
performer,475,53.29,21.33
pharmacist,476,53.29,21.33
pizza,477,53.29,21.33
resignation,478,53.29,21.33
reviewer,479,53.29,21.33
terminate,480,53.29,21.33
translation,481,53.29,21.33
unfamiliar,482,53.29,21.33
actress,483,53.14,20.59
adjacent,484,53.14,20.59
alternate,485,53.14,20.59
