lemma,group,on_list
authority,5,academic
publish,5,academic
conference,5,academic
aspect,5,academic
client,5,academic
impact,5,academic
candidate,5,academic
obtain,5,academic
repertoire,5,academic
distribution,5,academic
afterward,5,academic
essentially,5,academic
classroom,5,academic
regime,5,academic
cinema,5,academic
acid,5,academic
transaction,5,academic
disadvantage,5,academic
dynamic,5,academic
strategic,5,academic
shortly,5,academic
contrary,5,academic
mid,5,academic
graph,5,academic
diary,5,academic
jazz,5,academic
click,5,academic
amongst,5,academic
sophisticate,5,academic
translation,5,academic
headquarter,5,academic
suicide,5,academic
portfolio,5,academic
workshop,5,academic
occupation,5,academic
consumption,5,academic
absorb,5,academic
domain,5,academic
leisure,5,academic
lifestyle,5,academic
tremendous,5,academic
exit,5,academic
curriculum,5,academic
productivity,5,academic
superior,5,academic
assembly,5,academic
incredible,5,academic
upward,5,academic
prominent,5,academic
lifetime,5,academic
ultimate,5,academic
missile,5,academic
utility,5,academic
exploit,5,academic
seminar,5,academic
widespread,5,academic
emission,5,academic
integration,5,academic
bargain,5,academic
carrier,5,academic
dominant,5,academic
cure,5,academic
par,5,academic
admission,5,academic
dose,5,academic
execute,5,academic
conscious,5,academic
junior,5,academic
consent,5,academic
vocabulary,5,academic
punishment,5,academic
interval,5,academic
replacement,5,academic
scenario,5,academic
outlet,5,academic
architect,5,academic
controversy,5,academic
feedback,5,academic
render,5,academic
puzzle,5,academic
classify,5,academic
correctly,5,academic
accent,5,academic
economist,5,academic
scatter,5,academic
transformation,5,academic
clever,5,academic
organ,5,academic
physically,5,academic
treaty,5,academic
diverse,5,academic
alliance,5,academic
campus,5,academic
clue,5,academic
evident,5,academic
virtue,5,academic
commonly,5,academic
observer,5,academic
destination,5,academic
apple,5,academic
entity,5,academic
facilitate,5,academic
agriculture,5,academic
beam,5,academic
ton,5,academic
cattle,5,academic
cheer,5,academic
induce,5,academic
indicator,5,academic
necessity,5,academic
calculation,5,academic
drain,5,academic
audit,5,academic
consensus,5,academic
productive,5,academic
assignment,5,academic
gross,5,academic
ex,5,academic
painful,5,academic
reinforce,5,academic
identification,5,academic
backward,5,academic
identical,5,academic
clinic,5,academic
sin,5,academic
valid,5,academic
bonus,5,academic
collective,5,academic
hip,5,academic
proposition,5,academic
parameter,5,academic
terminal,5,academic
interrupt,5,academic
fiber,5,academic
precede,5,academic
drift,5,academic
expertise,5,academic
prediction,5,academic
communist,5,academic
elite,5,academic
confine,5,academic
stimulus,5,academic
thereby,5,academic
physician,5,academic
elaborate,5,academic
composer,5,academic
bat,5,academic
manual,5,academic
particle,5,academic
initiate,5,academic
politically,5,academic
sperm,5,academic
logical,5,academic
dictionary,5,academic
clip,5,academic
invasion,5,academic
fluid,5,academic
discrimination,5,academic
coordinate,5,academic
sensible,5,academic
fabric,5,academic
flexibility,5,academic
spectrum,5,academic
lung,5,academic
lab,5,academic
grasp,5,academic
rhythm,5,academic
ritual,5,academic
namely,5,academic
realistic,5,academic
traditionally,5,academic
intensity,5,academic
enforcement,5,academic
pronounce,5,academic
wisdom,5,academic
inevitably,5,academic
simultaneously,5,academic
interact,5,academic
blank,5,academic
tense,5,academic
strictly,5,academic
assert,5,academic
objection,5,academic
span,5,academic
execution,5,academic
continent,5,academic
civilization,5,academic
undermine,5,academic
airplane,5,academic
comply,5,academic
kilometer,5,academic
neat,5,academic
fraction,5,academic
effectiveness,5,academic
ethics,5,academic
insert,5,academic
tempt,5,academic
availability,5,academic
faculty,5,academic
depict,5,academic
clarify,5,academic
diagnosis,5,academic
colony,5,academic
deadline,5,academic
motive,5,academic
mineral,5,academic
readily,5,academic
correspondence,5,academic
tribe,5,academic
statistical,5,academic
disability,5,academic
separation,5,academic
punch,5,academic
infect,5,academic
minimize,5,academic
informal,5,academic
plug,5,academic
punish,5,academic
artificial,5,academic
strand,5,academic
adolescent,5,academic
scholarship,5,academic
discourse,5,academic
purely,5,academic
partial,5,academic
legitimate,5,academic
bound,5,academic
norm,5,academic
duration,5,academic
constitution,5,academic
homework,5,academic
horizon,5,academic
allocate,5,academic
rational,5,academic
nest,5,academic
resemble,5,academic
deliberately,5,academic
unemployed,5,academic
psychology,5,academic
corruption,5,academic
probe,5,academic
harvest,5,academic
outer,5,academic
recipe,5,academic
oxygen,5,academic
cognitive,5,academic
subtle,5,academic
merge,5,academic
slot,5,academic
legend,5,academic
interface,5,academic
comparable,5,academic
hedge,5,academic
ridiculous,5,academic
linguistic,5,academic
naked,5,academic
preliminary,5,academic
similarity,5,academic
bulk,5,academic
mall,5,academic
rub,5,academic
poster,5,academic
myth,5,academic
ghost,5,academic
pole,5,academic
separately,5,academic
discharge,5,academic
rope,5,academic
swell,5,academic
importantly,5,academic
processor,5,academic
robot,5,academic
correlation,5,academic
manuscript,5,academic
transmit,5,academic
molecule,5,academic
bacteria,5,academic
sufficiently,5,academic
stack,5,academic
nasty,5,academic
explicit,5,academic
revolutionary,5,academic
projection,5,academic
essence,5,academic
sensitivity,5,academic
spray,5,academic
usage,5,academic
bang,5,academic
bullet,5,academic
progressive,5,academic
breakdown,5,academic
consciousness,5,academic
influential,5,academic
insect,5,academic
underneath,5,academic
interfere,5,academic
surplus,5,academic
bundle,5,academic
accuracy,5,academic
whoever,5,academic
accelerate,5,academic
oral,5,academic
diagram,5,academic
defect,5,academic
bubble,5,academic
portray,5,academic
thread,5,academic
machinery,5,academic
barrel,5,academic
array,5,academic
stance,5,academic
radiation,5,academic
competence,5,academic
reliability,5,academic
solar,5,academic
conservation,5,academic
sometime,5,academic
injection,5,academic
freely,5,academic
specification,5,academic
wheat,5,academic
vertical,5,academic
incredibly,5,academic
flesh,5,academic
donor,5,academic
intervene,5,academic
tropical,5,academic
sketch,5,academic
profound,5,academic
transmission,5,academic
meaningful,5,academic
incline,5,academic
artistic,5,academic
crystal,5,academic
commodity,5,academic
prejudice,5,academic
questionnaire,5,academic
actively,5,academic
terribly,5,academic
gut,5,academic
consultation,5,academic
auction,5,academic
republic,5,academic
mortality,5,academic
overhead,5,academic
formally,5,academic
verbal,5,academic
ideology,5,academic
practitioner,5,academic
minimal,5,academic
goodness,5,academic
loop,5,academic
allocation,5,academic
mechanical,5,academic
straightforward,5,academic
chemistry,5,academic
obscure,5,academic
powder,5,academic
alien,5,academic
neutral,5,academic
historically,5,academic
compensate,5,academic
accumulate,5,academic
marker,5,academic
utilize,5,academic
surgeon,5,academic
pulse,5,academic
embed,5,academic
bleed,5,academic
ruler,5,academic
leaf,5,academic
partially,5,academic
aggregate,5,academic
thesis,5,academic
monkey,5,academic
activate,5,academic
conceive,5,academic
intensive,5,academic
overlap,5,academic
manipulate,5,academic
skip,5,academic
orientation,5,academic
equality,5,academic
developmental,5,academic
articulate,5,academic
ethical,5,academic
weave,5,academic
locally,5,academic
presume,5,academic
parental,5,academic
peasant,5,academic
chronic,5,academic
flip,5,academic
sensation,5,academic
organism,5,academic
acute,5,academic
unity,5,academic
tumor,5,academic
trait,5,academic
compact,5,academic
commentary,5,academic
configuration,5,academic
modification,5,academic
